CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,425609.125,4581755.311,C. Torre Melina. 4-6 (Av. Diagonal. 661-671) - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,425632.123,4581919.311,Av. Diagonal. 661-671 (C/ Torre Melina) - places: 7-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,425828.114,4583054.311,Av. Pearson.1-3 - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,426590.124,4581653.319,Av. Joan XXIII. 15 - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,426639.123,4581700.319,Av. Joan XXIII. 2-16 - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,426771.119,4582258.319,Pl. Pius XII. 4 (Av. Joan XXIII) - places: 19-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,426911.113,4583026.319,C. Capità Arenas. 63 aprox. (entre C/ Sta. Amelia i C/ Manuel de Falla) - places: 10-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,426926.12,4582107.321,C. Sabino Arana. 21-23 - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,426969.115,4582804.32,C. Capità Arenes. 31-33 aprox. (Pg. Manuel Girona) - places: 2-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427025.116,4582611.321,C. Manila. 44 (C/ Capità Arenes) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427118.123,4581688.323,C. Travessera de les Corts. 154-158 (entre Comandant Benitez i Mejia Lequerica) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427119.103,4584361.319,C. Marquesa de Villalonga. 17 aprox. - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427166.102,4584403.319,C. Vilana. 12 - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427227.117,4582403.323,C. Joan Güell. 234-254 - places: 21-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427279.118,4582259.323,C. Joan Güell. 213 (C/ Europa. 10) - places: 10-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427324.109,4583493.322,Via Augusta. 286 (C/ Doctor Roux) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427342.108,4583540.322,C. Doctor Roux. 62-64 (Via Augusta - C/ Milanesat) - places: 7-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427384.112,4583001.323,C. Buïgas. 19 (cantonada c/ de Gironella) - places: 2-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427408.117,4582460.324,Av. Diagonal. 593-595 - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427459.129,4580770.327,C. Badal. 156 - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427516.115,4582575.324,Av. Diagonal. 656 - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427522.115,4582626.324,C. Numància. 177-187 (Av. Diagonal) - places: 12-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,427535.123,4581579.326,Av. Madrid. 182 aprox. (Joan Güell) - places: 5-,,
