CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,400028.362,4500082.727,Hotel Meliá Barcelona Sarrià-Aparcament,934106060,Av Sarrià. 50
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,425395.467,4583090.844,Aparcament IESE,null,Pl Escultor Ramir Rocamora. 1
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426107.242,4583094.008,Aparcament Marqués de Mulhacén,932050209,C Marquès de Mulhacén. 51
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426298.468,4586018.657,Aparcament Inmuebles Fenix 92,932850787,Camí Sant Cugat. 13
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426661.532,4581952.937,Aparcament Tanatori les Corts-Menéndez Pelayo,933397216,Av Joan XXIII. 23
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426663.526,4581108.455,Aparcament Riera Blanca,934493006,Rier Blanca. 17
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426721.567,4583252.513,Aparcament Isbert Matamala,932030662,C Osi. 45*53
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426775.976,4583175.809,Aparcament Osio,932041057,C Osi. 29*33
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426797.732,4582197.393,Aparcament Hotel Princesa Sofia,933306363,C Doctor Salvador Cardenal. 5
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426799.277,4582479.902,Aparcament Núñez y Navarro - Pedralbes*Lluís Pericot,932046153,C Lluís Pericot. 12
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426811.122,4583711.418,Aparcament Porta de Sarrià,932801752,C Salvador Mundí. 17
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426925.428,4581399.29,Aparcament Enrique Mestres Monràs,933399131,C Benavent. 28*30
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426958.768,4582133.248,Aparcament Barcelona II,933308810,C Sabino Arana. 22
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426992.083,4582189.874,Aparcament Sergab-2,933309253,C Sabino Arana. 52*54
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,426998.829,4583495.562,Aparcament Cardenal Sentmenat-Vergòs,934092021,C Cardenal Sentmenat. 8
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427049.508,4581389.682,Aparcament Natapar,933302347,C Emèrita Augusta. 6
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427064.893,4580760.123,Aparcament Proyectos e Inversiones EYM,934223629,C Bonsoms. 18
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427073.094,4581438.945,Aparcament Núria Sola Gorina,933392002,C Felipe de Paz. 7
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427081.722,4582153.756,Aparcament Barcelona II,933308810,C Sabino Arana. 4
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427088.79,4581661.113,Aparcament Travessera Consava 4,933399000,Trav Corts. 146
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427091.909,4582163.483,Aparcament Barcelona II,933308810,G.V. Carles III. 85 BIS
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427164.995,4582100.302,Aparcament Trade,933306466,C Institut Frenopàtic. 11
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427174,4581697,Aparcament Rosa Fuster Alandes,933399857,G.V. Carles III. 41
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427187.238,4581909.081,Aparcament Carlos III,933306314,G.V. Carles III. 58*60
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427189.018,4583048.302,Aparcament Cotxeres de Sarria,932802740,C Francesc Carbonell. 56*58
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427206.372,4580672.456,Aparcament Redaus,934314008,C Carreras i Candi. 65
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427250.67,4582370.807,Aparcament Joan Güell,934107767,C Joan Güell. 250
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427258.704,4582613.852,Aparcament Flos i Calcat,932052260,C Flos i Calcat. 2
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427261.321,4580815.589,Aparcament Hierros y Calibrados,934229019,C Casteràs. 49
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427270.598,4584063.784,Aparcament Nuñez y Navarro - Bonanova *Passeig Bonanova,934185344,Pg Bonanova. 59
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427289.789,4582899.77,Aparcament Cotxeres de Sarria,932802740,Pg Manuel Girona. 77
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427295.579,4581244.777,Aparcament Brasil,934914631,Rbla Brasil. 29*35
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427296.622,4582312.713,Aparcament Joan Güell,934107767,C Europa. 13
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427320.814,4581810.241,Aparcament Ronda Park,933306250,C Fígols. 27*29
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427334.679,4580847.318,Aparcament Alvaro Arques Serret,932965493,C Begur. 32*34
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427350.236,4583054.425,Aparcament de Clinica,932803128,Pl Manuel Corachan. 4
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427359.994,4583469.799,Aparcament Hermanos Geigle-Edonu,932042493,Via Augusta. 281
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427375.41,4584125.385,Aparcament Doctor Roig i Raventós,935678888,C Dalmases. 76*LB
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427422.187,4581450.618,Aparcament Massini,null,C Tenor Masini. 93*95
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427431.609,4582616.511,Aparcament Jojobas Española,932803621,Av Diagonal. 652*656
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427431.794,4583028.259,Aparcament de Clinica,932803128,C Buïgas. 23
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427442.066,4582704.068,Aparcament Flos i Calcat,932052260,C Flos i Calcat. 17
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427464.543,4581680.59,Aparcament Julia Mosquera Alvarez,933390000,C Lluçà. 22
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427525.694,4582004.104,Aparcament M. Dolores Bonet Roura,934907267,C Galileu. 298
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427583.038,4585045.674,CosmoCaixa Barcelona-Aparcament Saba,932537488,C Quatre Camins. 89
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427609.171,4581455.571,Aparcament Ramon Morey Beltran,933394792,C Joan Güell. 68*70
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427633.795,4581686.131,Aparcament Metropolitan Bcn S.A.,933396902,C Galileu. 186
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427654.432,4583895.186,Aparcament Ferran Casablancas,934179356,C Josep Balari. 9
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427667.959,4584482.627,Aparcament Plaça Bonanova,934189385,Pl Bonanova. 12*14
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427670.631,4581860.309,Aparcament Mª Rosa Cadiere Fuertes,934907680,C Evarist Arnús. 39*41
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427696.473,4580074.734,Aparcament Fuente Tovar,934213156,C Badal. 34
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427707.664,4580264.749,Aparcament Olegario Rovira Bures,933326014,C Parcerisa. 8
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427714,4581988,Aparcament Nuñez y Navarro-Sentmenat II*Marquès de Sentmenat,933309834,C Marquès de Sentmenat. 6
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427719,4580128,Aparcament Fuente Tovar,934213156,C Quetzal. 26
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427807.973,4582585.485,Aparcament L'Illa,934194366,Av Diagonal. 559
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427810.95,4584292.727,Aparcament Edificios Patrimoniales,934178260,C Muntaner. 555
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427850.027,4581802.256,Aparcament José Maria Bassols Ribot,934305894,C Comtes de Bell-lloc. 158
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427868.064,4584030.818,Aparcament Josep Oriol Torrents,932122591,C Ciutat de Balaguer. 19
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427907,4581791,Aparcament Berlín Caballero,934903432,C Berlín. 7
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427910.006,4584422.655,Aparcament Blau,932124823,C Castanyer. 3
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427933.2,4584625.117,Aparcament Núñez y Navarro - Sant Gervasi*Moragas,934188417,C Moragas. 15
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,427947.794,4579812.328,Aparcament Prat-Sanchez,933319000,C Física. 10
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428006.843,4584147.759,Aparcament Rosa Pujol Fornsubira,932110971,C Sant Màrius. 23
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428029.853,4582073.563,Aparcament Nuñez y Navarro-Sentmenat I*Marquès de Sentmenat,933217693,C Marquès de Sentmenat. 54
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428030.484,4581878.496,Aparcament Inmobiliaria Gaudi,933225209,C Berlín. 39*49
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428053.62,4581886.843,Aparcament Inmobiliaria Gaudi,933225209,C Numància. 47*49
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428057.855,4582654.474,Rentamar S.A.-Aparcament Rentamar S.A.,933213028,C Entença. 328*334
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428058.643,4581808.198,Aparcament Car Berlin,933224424,C Berlín. 26*28
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428073.816,4581863.567,Aparcament Car Berlin,933224424,C Numància. 47
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428087.382,4583911.87,Aparcament Adrional,932010332,C Hercegovina. 4
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428098.403,4580082.387,Aparcament La Campana,933327741,G.V. Corts Catalanes. 184
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428104.54,4582180.349,Aparcament Zalco 2000,934392651,C Taquígraf Serra. 7
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428110.381,4581336.328,Aparcament Estació de Sants,933390566,Est de Sants. 0
