Codigo linea;Descripcion linea;Codigo parada;Parada;Tiempo espera
01;ARANGOITI -BIRIBILA;1306;Ugarteko / Ibarrekolanda;15
01;ARANGOITI -BIRIBILA;1401;Araneko (22);54
01;ARANGOITI -BIRIBILA;1409;Buenavista;9
01;ARANGOITI -BIRIBILA;1411;Ibarrekolanda 19;52
01;ARANGOITI -BIRIBILA;1413;L. Aguirre / Hizkuntza Eskola;19
01;ARANGOITI -BIRIBILA;1414;L. Aguirre / (Bidarte);17
01;ARANGOITI -BIRIBILA;1415;L. Aguirre 42 / Bidarte;50
01;ARANGOITI -BIRIBILA;1423;San Pedro / Eliza;49
01;ARANGOITI -BIRIBILA;1424;San Pío X / F.Maciá;21
01;ARANGOITI -BIRIBILA;1425;San Pío X / H.Aguirre;47
01;ARANGOITI -BIRIBILA;1601;Araneko 17;1
01;ARANGOITI -BIRIBILA;1603;Egileor 4;55
01;ARANGOITI -BIRIBILA;1604;Ganeta Mendia (7);24
01;ARANGOITI -BIRIBILA;1605;Miramarbidea / Eskola;11
01;ARANGOITI -BIRIBILA;1701;Aranekobidea / Cementerio;53
01;ARANGOITI -BIRIBILA;1702;Miramarbidea (47);13
01;ARANGOITI -BIRIBILA;1703;Miramarbidea / Aranekobidea;13
01;ARANGOITI -BIRIBILA;6107;Deustuko Zubia / Zubiarte;22
01;ARANGOITI -BIRIBILA;6109;Elcano 2;24
01;ARANGOITI -BIRIBILA;6110;Elcano 3;44
01;ARANGOITI -BIRIBILA;6113;Gran Vía 7;29
01;ARANGOITI -BIRIBILA;6114;Gran Vía 36;42
01;ARANGOITI -BIRIBILA;6115;Gran Vía 37;26
01;ARANGOITI -BIRIBILA;6117;Gran Vía 8;0
01;ARANGOITI -BIRIBILA;6125;Museo 1 / Henao;45
01;ARANGOITI -BIRIBILA;6126;Plaza Biribila / Gran Vía;0
01;ARANGOITI -BIRIBILA;6204;Deustuko Zubia;45
01;ARANGOITI -BIRIBILA;6219;Moyúa 4;26
03;PLAZA BIRIBILA - OTXARKOAGA;2202;Kristo 1;3
03;PLAZA BIRIBILA - OTXARKOAGA;2415;Zumalacárregui / T.Zubiria;1
03;PLAZA BIRIBILA - OTXARKOAGA;2509;Zumalacárregui 121;8
03;PLAZA BIRIBILA - OTXARKOAGA;3101;Arbolantxa 18;0
03;PLAZA BIRIBILA - OTXARKOAGA;3106;Larratundu 21;1
03;PLAZA BIRIBILA - OTXARKOAGA;3108;Pau Casals / Jesús Galíndez;3
03;PLAZA BIRIBILA - OTXARKOAGA;3115;Zizeruena / Eliza;1
03;PLAZA BIRIBILA - OTXARKOAGA;3116;Zizeruena 22;2
03;PLAZA BIRIBILA - OTXARKOAGA;3117;Larratundu 1;1
03;PLAZA BIRIBILA - OTXARKOAGA;3204;Dr. Ornilla / Pau Casals;8
03;PLAZA BIRIBILA - OTXARKOAGA;3210;Jesús Galíndez / Adoratrices;4
03;PLAZA BIRIBILA - OTXARKOAGA;3211;Jesús Galíndez / Txomin Garat;6
03;PLAZA BIRIBILA - OTXARKOAGA;3212;Jesús Galíndez 24 / Gabriel Aresti;7
03;PLAZA BIRIBILA - OTXARKOAGA;3214;Jesús Galíndez 3 / Colegio Alemán;6
03;PLAZA BIRIBILA - OTXARKOAGA;3230;Zumalacárregui / (Makua);7
03;PLAZA BIRIBILA - OTXARKOAGA;4104;Begoñako Basilika;4
03;PLAZA BIRIBILA - OTXARKOAGA;4109;Zumalacárregui 38;3
