Codigo linea;Descripcion linea;Sentido;Numero parada;Codigo parada;Parada;Zona;Correspondencias
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;1;1604;Ganeta Mendia (7);Arangoiti-Egileor;
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;2;1605;Miramarbidea / Eskola;Arangoiti-Colegio;A6
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;3;1702;Miramarbidea (47);Arangoiti-Colegio;A6
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;4;1703;Miramarbidea / Aranekobidea;Arangoiti-Colegio;A6
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;5;1306;Ugarteko / Ibarrekolanda;Lehendakari Aguirre-Sarriko;
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;6;1414;L. Aguirre / (Bidarte);Lehendakari Aguirre-Bidarte;A4,10,11,13,18,71
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;7;1413;L. Aguirre / Hizkuntza Eskola;Lehendakari Aguirre-Pl. S. Pedro;10,13,18,71
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;8;1424;San Pío X / F.Maciá;Puente Deusto-Universidad;10,13,18
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;9;6107;Deustuko Zubia / Zubiarte;Henao-Pl. Museo;10,13,18
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;10;6109;Elcano 2;Elcano-Pl. San Jose;10,13,18
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;11;6219;Moyúa 4;Pl. Moyua;A3,10,13,18
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;12;6115;Gran Vía 37;Gran Via-Metro Moyua;10,26,28,56,62,72,77
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;13;6113;Gran Vía 7;Gran Via-Corte Ingles;A5,10,26,28,56,62,72,77
01;ARANGOITI - PLAZA BIRIBILA;Arangoiti - Gran Via;14;6130;Gran Vía 2;;A1,10,40
01;ARANGOITI - PLAZA BIRIBILA;Gran Via - Arangoiti;1;6130;Gran Vía 2;;A1,10,40
